                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.82874,                0.35523,                0.95626,                0.99816,                0.99633,                  0.995,                0.81531,                0.72114,                0.29043,                0.86125,               0.008724,               0.008724,               0.008724
                    119,                0.82862,                0.35224,                0.95417,                0.99762,                0.99318,                0.99499,                0.81686,                0.71334,                0.29062,                0.85881,               0.008713,               0.008713,               0.008713
                    120,                0.82314,                0.35117,                0.95153,                0.99627,                 0.9935,                0.99498,                0.80103,                0.75657,                0.30173,                0.86912,               0.008702,               0.008702,               0.008702
                    121,                0.82901,                0.35862,                0.95109,                0.99855,                0.99615,                  0.995,                0.80543,                0.74256,                0.29467,                0.86609,               0.008691,               0.008691,               0.008691
                    122,                0.82481,                0.35122,                0.95611,                0.99826,                 0.9967,                  0.995,                0.81491,                0.72082,                0.29533,                0.86045,                0.00868,                0.00868,                0.00868
                    123,                0.82448,                0.35264,                0.94756,                0.99723,                 0.9973,                  0.995,                0.80562,                0.73814,                 0.2914,                0.86403,               0.008669,               0.008669,               0.008669
                    124,                0.82923,                0.35472,                0.95191,                0.99834,                0.99594,                  0.995,                0.81306,                0.72762,                0.29434,                 0.8617,               0.008658,               0.008658,               0.008658
                    125,                0.82658,                0.35007,                0.95322,                 0.9983,                0.99497,                  0.995,                0.81337,                0.73042,                0.29262,                0.85977,               0.008647,               0.008647,               0.008647
                    126,                0.82383,                0.35438,                0.95042,                0.99857,                0.99628,                  0.995,                0.80868,                0.73534,                0.29301,                0.86197,               0.008636,               0.008636,               0.008636
                    127,                0.81172,                0.34615,                0.95048,                0.99822,                0.99585,                  0.995,                0.81628,                0.71513,                  0.287,                 0.8612,               0.008625,               0.008625,               0.008625
                    128,                  0.817,                0.35261,                 0.9446,                 0.9984,                0.99569,                  0.995,                0.80372,                0.76233,                0.30222,                0.87217,               0.008614,               0.008614,               0.008614
                    129,                0.82497,                0.35273,                 0.9448,                0.99879,                 0.9961,                  0.995,                0.82039,                 0.7177,                0.29217,                0.85616,               0.008603,               0.008603,               0.008603
                    130,                0.82672,                0.35205,                0.94849,                0.99788,                0.99363,                  0.995,                0.81778,                0.74154,                0.29241,                0.86443,               0.008592,               0.008592,               0.008592
                    131,                0.81769,                 0.3495,                0.95288,                0.99857,                0.99483,                  0.995,                0.79483,                0.78416,                0.30119,                0.87483,               0.008581,               0.008581,               0.008581
                    132,                0.82296,                0.35128,                0.95366,                0.99797,                0.99537,                  0.995,                0.79746,                0.80412,                0.30012,                0.88007,                0.00857,                0.00857,                0.00857
                    133,                0.82317,                 0.3505,                0.95043,                0.99762,                0.99681,                  0.995,                0.80537,                0.74679,                0.29281,                0.86786,               0.008559,               0.008559,               0.008559
                    134,                0.81559,                0.35117,                0.94427,                0.99554,                0.99211,                0.99494,                0.80977,                0.72153,                0.29308,                0.86094,               0.008548,               0.008548,               0.008548
                    135,                0.81557,                0.34752,                0.95168,                 0.9984,                0.99619,                  0.995,                0.82075,                0.71472,                0.28349,                0.85971,               0.008537,               0.008537,               0.008537
                    136,                0.81632,                 0.3502,                 0.9399,                0.99768,                0.99477,                  0.995,                0.81679,                0.72628,                0.28866,                 0.8606,               0.008526,               0.008526,               0.008526
                    137,                 0.8223,                0.35147,                0.94798,                0.99863,                0.99657,                  0.995,                0.80978,                0.73029,                0.28343,                0.86228,               0.008515,               0.008515,               0.008515
                    138,                0.81274,                0.34934,                0.94938,                 0.9984,                0.99703,                  0.995,                0.81807,                0.71493,                0.28636,                0.85813,               0.008504,               0.008504,               0.008504
                    139,                0.81368,                0.34921,                0.94513,                 0.9987,                 0.9973,                  0.995,                 0.8105,                0.73611,                0.28997,                0.86186,               0.008493,               0.008493,               0.008493
                    140,                0.80669,                0.34536,                0.94796,                0.99855,                0.99441,                  0.995,                0.81515,                0.71589,                0.28788,                0.86092,               0.008482,               0.008482,               0.008482
